               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  92,            0.040807,            0.025843,           0.0062387,             0.60034,             0.41569,             0.43059,             0.22008,            0.053644,            0.017819,            0.029964,           0.0081982,           0.0081982,           0.0081982
                  93,            0.041084,            0.026021,           0.0063173,             0.60144,             0.49812,              0.4747,              0.2581,            0.051917,            0.017966,            0.023449,           0.0081784,           0.0081784,           0.0081784
                  94,            0.040015,            0.025384,           0.0065982,             0.53703,             0.45947,             0.45062,             0.23033,            0.052725,            0.017948,            0.026753,           0.0081586,           0.0081586,           0.0081586
                  95,             0.04014,            0.025621,           0.0076349,              0.5878,             0.39866,             0.44204,             0.22736,            0.052589,            0.018064,            0.027074,           0.0081388,           0.0081388,           0.0081388
                  96,            0.040505,             0.02662,           0.0072153,             0.49336,             0.47787,             0.46342,             0.23927,            0.051851,            0.017365,            0.024264,            0.008119,            0.008119,            0.008119
                  97,            0.040456,            0.026064,           0.0071406,             0.52643,             0.42551,             0.43297,             0.22817,            0.053456,            0.017595,            0.028316,           0.0080992,           0.0080992,           0.0080992
                  98,            0.041146,            0.025302,           0.0073104,             0.51246,              0.4502,              0.4353,             0.22251,            0.053806,             0.01809,            0.028772,           0.0080794,           0.0080794,           0.0080794
                  99,            0.041193,            0.026245,           0.0074384,             0.50182,             0.45879,             0.42072,             0.20769,            0.051789,             0.01792,            0.026619,           0.0080596,           0.0080596,           0.0080596
                 100,            0.040582,            0.026259,           0.0071814,             0.53498,             0.48695,             0.44528,             0.22707,            0.051882,            0.017676,            0.025389,           0.0080398,           0.0080398,           0.0080398
                 101,            0.041091,            0.025117,           0.0073116,             0.55923,             0.42192,             0.44179,             0.22048,            0.052696,            0.017516,            0.025585,             0.00802,             0.00802,             0.00802
                 102,            0.040614,            0.025417,           0.0066432,             0.53951,             0.48385,             0.46679,              0.2306,            0.051034,            0.017517,            0.024874,           0.0080002,           0.0080002,           0.0080002
                 103,            0.040912,              0.0259,           0.0068633,              0.5151,             0.44182,             0.44076,             0.21694,            0.052707,            0.017539,            0.026328,           0.0079804,           0.0079804,           0.0079804
                 104,            0.040345,            0.026121,           0.0074463,             0.55186,             0.44483,             0.44511,             0.22413,            0.052772,            0.017312,            0.025101,           0.0079606,           0.0079606,           0.0079606
                 105,            0.040077,            0.025473,           0.0071547,             0.46509,             0.44286,             0.40989,             0.20443,            0.054926,            0.018408,            0.028587,           0.0079408,           0.0079408,           0.0079408
                 106,            0.040553,            0.026276,           0.0077633,             0.46404,              0.4773,             0.42528,             0.21747,            0.052415,            0.017601,             0.02221,            0.007921,            0.007921,            0.007921
